"Gene stable ID","Transcript stable ID","UniProtKB/TrEMBL ID","Plant Reactome Reaction ID"
AT3G46440,AT3G46440.1,A0A178VDJ4,R-ATH-1119428
AT3G46440,AT3G46440.1,A0A178VDJ4,R-ATH-1119620
AT3G46440,AT3G46440.1,A0A178VDJ4,R-ATH-1119563
AT3G46440,AT3G46440.2,A0A178VDJ4,R-ATH-1119428
AT3G46440,AT3G46440.2,A0A178VDJ4,R-ATH-1119620
AT3G46440,AT3G46440.2,A0A178VDJ4,R-ATH-1119563
AT3G16830,AT3G16830.1,A0A178VCB7,R-ATH-6787011
AT3G16830,AT3G16830.1,A0A178VCB7,R-ATH-5632095
AT3G16830,AT3G16830.1,A0A178VCB7,R-ATH-5654828
AT2G43750,AT2G43750.2,Q0WW95,R-ATH-1119331
AT2G43750,AT2G43750.2,A0A384KAY1,R-ATH-1119331
AT2G43750,AT2G43750.1,Q0WW95,R-ATH-1119331
AT2G43750,AT2G43750.1,A0A384KAY1,R-ATH-1119331
AT3G02780,AT3G02780.1,A0A178V9S3,R-ATH-1119615
AT3G02780,AT3G02780.1,A0A178V9S3,R-ATH-1119464
AT3G02780,AT3G02780.1,A0A178V9S3,R-ATH-1119367
AT3G02780,AT3G02780.1,Q9M6K3,R-ATH-1119615
AT3G02780,AT3G02780.1,Q9M6K3,R-ATH-1119464
AT3G02780,AT3G02780.1,Q9M6K3,R-ATH-1119367
AT3G02780,AT3G02780.2,A0A1I9LM15,R-ATH-1119615
AT3G02780,AT3G02780.2,A0A1I9LM15,R-ATH-1119464
AT3G02780,AT3G02780.2,A0A1I9LM15,R-ATH-1119367
AT5G57625,AT5G57625.1,Q9FKL1,R-ATH-6788019
AT5G57625,AT5G57625.1,A0A178UIL5,R-ATH-6788019
AT5G57625,AT5G57625.1,Q42126,R-ATH-6788019
AT4G34640,AT4G34640.1,A0A178UT28,R-ATH-1119286
AT4G34640,AT4G34640.1,A0A178UT28,R-ATH-1119439
AT4G34640,AT4G34640.1,A0A178UT28,R-ATH-1119559
AT4G34640,AT4G34640.1,A0A178UT28,R-ATH-1119370
AT4G34640,AT4G34640.2,A0A1P8B8L3,R-ATH-1119286
AT4G34640,AT4G34640.2,A0A1P8B8L3,R-ATH-1119439
AT4G34640,AT4G34640.2,A0A1P8B8L3,R-ATH-1119559
AT4G34640,AT4G34640.2,A0A1P8B8L3,R-ATH-1119370
AT1G74000,AT1G74000.1,A0A178VZY7,R-ATH-1119438
AT2G06050,AT2G06050.3,ND,R-ATH-6787011
AT2G06050,AT2G06050.3,ND,R-ATH-1119332
AT2G06050,AT2G06050.1,ND,R-ATH-6787011
AT2G06050,AT2G06050.1,ND,R-ATH-1119332
